productname,categorie,price,description,image url,eco_friendly
Plastic Spoon,Kitchen - Spoon,₹5,Polystyrene,https://m.media-amazon.com/images/I/41CI5dS+JRL.jpg,FALSE
Wooden Spoon,Kitchen - Spoon,₹20,Teak Wood,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdzOibcuPivKZJ1CMuWJ0xOrb8J7tQ_m2L2w&s,TRUE
Steel Spoon,Kitchen - Spoon,₹25,Stainless Steel,https://bhalaria.in/cdn/shop/files/SMOOTH-DESIGN-DINNER-SPOON-_6-Pcs-Set_-1000-X1000.jpg?v=1696566463,FALSE
Bamboo Spoon,Kitchen - Spoon,₹30,Bamboo,https://rukminim2.flixcart.com/image/850/1000/ka8jdzk0/kitchen-tool-set/9/z/p/ct-295-classy-touch-original-imafrugndjzzphgm.jpeg?q=20&crop=false,TRUE
Melamine Spoon,Kitchen - Spoon,₹15,Melamine,https://5.imimg.com/data5/EA/IV/YP/SELLER-4592822/printed-melamine-spoon.jpeg,FALSE
Silicone Spoon,Kitchen - Spoon,₹40,Silicone,"https://media-uk.landmarkshops.in/cdn-cgi/image/h=550,w=550,q=85,fit=cover/homecentre/1000012466769-1000012466768_02-2100.jpg",FALSE
Brass Spoon,Kitchen - Spoon,₹50,Brass,https://m.media-amazon.com/images/I/6111pmKcXfL.jpg,FALSE
Copper Spoon,Kitchen - Spoon,₹45,Copper,https://m.media-amazon.com/images/I/511NC3Ke-dL.jpg,FALSE
Biodegradable Spoon,Kitchen - Spoon,₹10,PLA,https://m.media-amazon.com/images/I/41a+kmnhwFL._SX342_SY445_.jpg,FALSE
Glass Spoon,Kitchen - Spoon,₹35,Glass,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDnVHhQPsTxvpgo9JIPMyV0T4NzZ4efSMt6w&s,TRUE
Steel Kadhai,Kitchen - Utensil,₹850,Stainless Steel,https://www.vinodsteel.com/cdn/shop/files/1_53e79b14-9930-44a0-beea-a80e288942af.png?v=1706882562,FALSE
Non-stick Pan,Kitchen - Utensil,₹950,Aluminum with Teflon,https://m.media-amazon.com/images/I/71xOErYhWwL.jpg,FALSE
Clay Pot,Kitchen - Utensil,₹350,Natural Clay,https://www.swadeshiblessings.in/cdn/shop/files/Screenshot_2025-03-04_at_10.40.28.png?v=1741065094,TRUE
Iron Tava,Kitchen - Utensil,₹500,Iron,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmI7EEbiUaP5TvqdZtZcAW_Hu_B3W3Jei9DA&s,FALSE
Glass Bowl,Kitchen - Utensil,₹250,Glass,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsHFgATxG5-daWRMLf_VhJUeZ8aY5f4C1v1Q&s,TRUE
Plastic Mixing Bowl,Kitchen - Utensil,₹150,Polypropylene,https://www.bigbasket.com/media/uploads/p/l/40186715_4-all-time-plastic-mixing-bowl-with-lid-assorted.jpg,FALSE
Ceramic Dish,Kitchen - Utensil,₹300,Ceramic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTLlJAphe16MdEv8Y3tQ0H-dzH2wCEc4NfNQ&s,FALSE
Copper Jug,Kitchen - Utensil,₹700,Copper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmPL6-xELA39CVcmY8DJgkDljWgsnenSgSXw&s,FALSE
Aluminum Cooker,Kitchen - Utensil,₹1000,Aluminum,https://vinodcookware.com/cdn/shop/products/1M0A8050.jpg?v=1743425342,FALSE
Silicone Spatula,Kitchen - Utensil,₹120,Silicone,"https://m.media-amazon.com/images/I/71aCJl3BWGL._AC_UF894,1000_QL80_.jpg",FALSE
